 Magdeburg ,496,530,295,131,251,233,228,209,384,445,202,700,346,615,271,136,576,247,369,496,417,108,727,0,505,522,342,269,360,291,563,449,316,611,311,573,599,537,366,460
 Mannheim ,284,297,329,657,541,660,560,339,327,106,730,195,166,444,580,433,58,265,671,145,247,497,363,505,0,347,350,761,248,410,444,343,731,117,686,138,146,214,570,162
 München ,650,81,244,596,766,596,496,425,646,412,669,400,382,89,772,647,270,482,882,521,578,436,194,522,347,0,668,731,162,655,180,106,771,413,773,210,522,124,825,294
 Münster ,206,620,520,450,170,579,597,384,87,280,523,548,304,763,260,190,421,200,348,243,144,450,683,342,350,668,0,529,490,60,695,585,471,427,398,502,361,560,220,385
 Neubrandenburg  ,715,729,494,130,353,304,366,438,599,704,279,942,605,813,235,395,815,508,280,760,646,322,879,269,761,731,529,0,567,436,762,644,103,870,187,764,871,741,474,752
 Nürnberg ,472,180,74,426,590,426,325,264,465,235,499,378,202,267,616,476,253,309,702,350,415,266,301,360,248,162,490,567,0,485,205,105,615,356,604,213,309,188,645,108
 Osnabrück ,256,580,635,410,120,528,590,373,135,340,483,556,290,755,200,135,429,180,297,300,200,410,733,291,410,655,60,436,485,0,746,585,367,478,317,557,412,610,160,390
 Passau ,683,232,273,625,796,478,378,459,676,330,559,480,412,293,816,676,459,509,911,580,611,461,364,563,444,180,695,762,205,746,0,128,814,562,803,400,618,310,860,323
 Regensburg ,570,167,159,511,690,440,340,344,560,326,584,480,295,195,710,567,353,404,800,445,510,349,310,449,343,106,585,644,105,585,128,0,702,455,699,286,504,208,740,207
 Rostock ,642,782,547,237,277,382,444,435,525,686,317,935,577,866,140,327,802,477,194,687,562,375,932,316,731,771,471,103,615,367,814,702,0,848,90,809,821,791,424,702
 Saarbrücken ,321,356,446,745,590,768,668,453,359,188,815,312,290,508,690,553,188,383,778,203,283,585,480,611,117,413,427,870,356,478,562,455,848,0,822,210,103,303,633,309
 Schwerin ,590,742,562,200,228,359,421,480,474,629,306,881,525,855,120,269,754,428,139,635,521,364,908,311,686,773,398,187,604,317,803,699,90,822,0,789,763,771,335,612
 Stuttgart ,408,149,264,631,645,631,531,435,472,200,704,207,260,300,668,526,81,360,762,270,367,471,216,573,138,210,502,764,213,557,400,286,809,210,789,0,307,100,717,157
 Trier ,255,475,485,725,524,748,648,433,292,235,799,360,345,611,624,487,233,361,714,128,217,568,417,599,146,522,361,871,309,412,618,504,821,103,763,307,0,418,515,351
 Ulm ,505,83,252,604,660,604,504,447,535,310,677,268,270,181,686,536,160,370,715,381,484,444,126,537,214,124,560,741,188,610,310,208,791,303,771,100,418,0,770,180
 Wilhelmshaven ,418,825,682,485,110,598,660,451,290,500,558,716,450,915,220,225,589,345,315,460,360,485,888,366,570,825,220,474,645,160,860,740,424,633,335,717,515,770,0,554
 Würzburg ,367,243,147,490,490,485,385,298,360,130,647,318,100,389,512,369,195,209,605,248,300,410,309,460,162,294,385,752,108,390,323,207,702,309,612,157,351,180,554,0
